#\begin{deluxetable}{lcc}
#\tabletypesize{\scriptsize}
#\tablecaption{Measured \HI\ terminal velocities, $v_{LSR}$, as a function of Galactic longitude, $l$, from the VGPS.  The third column gives the terminal velocities, $v_{mod}$, predicted by the rotation curve defined in Equation \ref{eq:rotfit}.
#\label{tab:termvels}}
#\tablewidth{0pt}
#\tablehead{\colhead{$l$ (deg)} & \colhead{$v_{LSR}$ (\kms)} & \colhead{$v_{mod}$ (\kms)}}
#\startdata
28.162   &   111.11    &    109.50 
28.227   &   111.11    &    109.32 
28.293   &   111.00    &    109.14 
28.357   &   109.84    &    108.96 
28.422   &   109.77    &    108.77 
28.487   &   109.77    &    108.59 
28.552   &   109.43    &    108.41 
28.618   &   109.43    &    108.23 
28.683   &   108.64    &    108.04 
28.748   &   108.48    &    107.86 
28.813   &   107.24    &    107.68 
28.878   &   106.78    &    107.50 
28.943   &   106.57    &    107.32 
29.008   &   106.57    &    107.14 
29.073   &   106.40    &    106.96 
29.138   &   106.27    &    106.78 
29.203   &   106.27    &    106.60 
29.268   &   106.67    &    106.42 
29.332   &   106.79    &    106.24 
29.397   &   107.28    &    106.06 
29.463   &   107.56    &    105.87 
29.527   &   107.72    &    105.70 
29.593   &   109.53    &    105.51 
29.657   &   110.70    &    105.34 
29.722   &   111.65    &    105.16 
29.787   &   111.91    &    104.98 
29.852   &   112.47    &    104.80 
29.918   &   112.47    &    104.62 
29.982   &   112.47    &    104.44 
30.047   &   113.29    &    104.26 
30.112   &   113.49    &    104.08 
30.177   &   113.63    &    103.90 
30.243   &   113.63    &    103.72 
30.308   &   114.31    &    103.54 
30.373   &   114.81    &    103.36 
30.438   &   114.81    &    103.19 
30.503   &   114.13    &    103.01 
30.568   &   114.13    &    102.83 
30.633   &   114.75    &    102.65 
30.698   &   115.31    &    102.47 
30.763   &   115.31    &    102.29 
30.828   &   114.79    &    102.12 
30.893   &   114.79    &    101.94 
30.957   &   114.81    &    101.76 
31.022   &   114.95    &    101.59 
31.088   &   115.15    &    101.41 
31.152   &   115.15    &    101.23 
31.218   &   114.52    &    101.05 
31.282   &   113.42    &    100.88 
31.347   &   113.30    &    100.70 
31.412   &   113.28    &    100.53 
31.477   &   112.89    &    100.35 
31.543   &   112.49    &    100.17 
31.607   &   112.35    &    100.00 
31.672   &   112.10    &    99.82
31.737   &   112.10    &    99.64 
31.802   &   112.10    &    99.47 
31.868   &   112.03    &    99.29 
31.933   &   111.02    &    99.11 
31.998   &   111.02    &    98.94 
32.062   &   110.69    &    98.77 
32.128   &   110.35    &    98.59 
32.193   &   110.31    &    98.41 
32.258   &   110.35    &    98.24 
32.322   &   110.31    &    98.07 
32.388   &   109.59    &    97.89 
32.453   &   109.11    &    97.71 
32.518   &   107.89    &    97.54 
32.583   &   107.48    &    97.36 
32.648   &   107.29    &    97.19 
32.712   &   107.16    &    97.02 
32.777   &   107.12    &    96.84 
32.842   &   106.95    &    96.67 
32.907   &   105.44    &    96.50 
32.972   &   105.42    &    96.32 
33.037   &   105.42    &    96.15 
33.102   &   105.42    &    95.98 
33.167   &   105.29    &    95.80 
33.232   &   104.98    &    95.63 
33.297   &   104.98    &    95.46 
33.363   &   105.34    &    95.28 
33.428   &   105.77    &    95.11 
33.493   &   105.83    &    94.94 
33.558   &   105.83    &    94.76 
33.623   &   105.83    &    94.59 
33.688   &   106.49    &    94.42 
33.753   &   106.84    &    94.25 
33.818   &   106.97    &    94.08 
33.883   &   107.03    &    93.90 
33.947   &   107.47    &    93.73 
34.013   &   107.64    &    93.56 
34.078   &   107.64    &    93.39 
34.143   &   107.64    &    93.22 
34.208   &   107.12    &    93.05 
34.273   &   106.29    &    92.88 
34.337   &   106.27    &    92.71 
34.402   &   106.13    &    92.54 
34.467   &   106.13    &    92.37 
34.532   &   105.24    &    92.19 
34.597   &   104.54    &    92.02 
34.662   &   103.99    &    91.85 
34.727   &   103.87    &    91.68 
34.792   &   103.39    &    91.51 
34.857   &   102.24    &    91.34 
34.922   &   101.06    &    91.17 
34.988   &   100.78    &    91.00 
35.053   &   100.46    &    90.83 
35.118   &   98.95    &    90.66 
35.183   &   98.37    &    90.49 
35.248   &   97.59    &    90.33 
35.312   &   97.59    &    90.16 
35.378   &   97.75    &    89.99 
35.443   &   97.75    &    89.82 
35.508   &   97.26    &    89.65 
35.572   &   96.46    &    89.48 
35.638   &   95.18    &    89.31 
35.703   &   95.18    &    89.15 
35.768   &   95.03    &    88.98 
35.833   &   94.48    &    88.81 
35.898   &   94.48    &    88.64 
35.962   &   95.30    &    88.48 
36.027   &   95.30    &    88.31 
36.092   &   94.61    &    88.14 
36.157   &   93.78    &    87.98 
36.222   &   92.82    &    87.81 
36.287   &   92.74    &    87.64 
36.352   &   92.57    &    87.48 
36.417   &   92.09    &    87.31 
36.482   &   92.09    &    87.14 
36.547   &   92.18    &    86.98 
36.613   &   92.44    &    86.81 
36.678   &   92.57    &    86.64 
36.743   &   92.57    &    86.48 
36.808   &   92.02    &    86.31 
36.873   &   92.02    &    86.14 
36.938   &   93.28    &    85.98 
37.003   &   93.35    &    85.81 
37.068   &   93.35    &    85.65 
37.133   &   93.35    &    85.48 
37.197   &   93.39    &    85.32 
